[[-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]
 [-0.1  -1.57]]
[[0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]]
[[0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
 [0.1 0. ]
